;Лампы для чтения для 1-го ряда с футляром для очков;Камера заднего вида с указанием траектории движения;Светодиодные передние габаритные огни;Разъемы USB, AUX;Светодиодные передние габаритные огни;Светодиодные передние габаритные огни;Лампы для чтения для 1-го ряда с футляром для очков; Регулировка наклона спинок сидений второго ряда;Шторка багажника
;Воздушный фильтр салона;Интеллектуальная система мониторинга слепых зон;Повторители указателей поворота в зеркалах заднего вида;Розетки 12V;Повторители указателей поворота в зеркалах заднего вида;Повторители указателей поворота в зеркалах заднего вида;Воздушный фильтр салона;Шторка багажника;Отсек для хранения под полом багажника
;Центральный задний подлокотник с подстаканниками;Автоматические электродоводчики дверей;Противотуманные фары;Подогрев передних сидений;Противотуманные фары;Противотуманные фары;Центральный задний подлокотник с подстаканниками;Отсек для хранения под полом багажника;Сетка багажника
;Складывающаяся спинка заднего сиденья в пропорции 6:4;Электропривод крышки багажника;Полноразмерное запасное колесо с легкосплавным диском;Воздушный фильтр салона;Полноразмерное запасное колесо с легкосплавным диском;Полноразмерное запасное колесо с легкосплавным диском;Складывающаяся спинка заднего сиденья в пропорции 6:4;Сетка багажника;Светодиодные фары дневного света
;Карманы в дверях спереди и сзади;Электростеклоподъемники с безопасным режимом ;Подогрев задних сидений;Обогрев форсунок омывателя лобового стекла;"Легкосплавные диски 17"" с шинами 235/65 R17";"Легкосплавные диски 17"" с шинами 235/65 R17";Карманы в дверях спереди и сзади;Светодиодные фары дневного света;Светодиодные передние габаритные огни
;Обивка сидений тканью (В НАЛИЧИИ ЕСТЬ ЧЕРНЫЙ ЦВЕТ);Трехзонный климат-контроль с системой контроля качества воздуха и датчиком запотевания лобового стекла;Электропривод складывания зеркал;Двухзонный климат-контроль;Подогрев задних сидений;Подогрев задних сидений;Обивка сидений тканью;Светодиодные передние габаритные огни;Повторители указателей поворота в зеркалах заднего вида
;Передние дневные ходовые огни;Аудиосистема Lexicon Quantum Logic Surround (17 динамиков) с функцией Clari-Fi;Датчик света;Датчик дождя;Электропривод складывания зеркал;Электропривод складывания зеркал;Bluetooth ;Задний спойлер;Противотуманные фары
;Bluetooth ;Беспроводная зарядка для смартфонов в передей консоли;Задние датчики парковки;Кожаная отделка руля и рукоятки коробки передач ;Датчик света;Датчик света;Пульт управления центральным замком в раскладном ключе ;Защита порогов от загрязнения;Полноразмерное запасное колесо с легкосплавным диском
;Пульт управления центральным замком в раскладном ключе ;Интерфейсы USB в переднейконсоли и заднем подлокотнике (сзади только функция зарядки);Подогрев руля;Круиз-контроль с управлением на руле;Задние датчики парковки;Задние датчики парковки;Подогрев передних сидений;Повторители указателей поворота в зеркалах заднего вида;Устройство вызова экстренных оперативных служб Эра-Глонасс
;Подогрев передних сидений;"Широкоформатный дисплей 12,3"" с функцией dual screen и управлением с помощью DIS";Глубокая тонировка задних стекол;Датчики парковки сзади;Подогрев руля;Подогрев руля;Сетка для фиксации багажа;Противотуманные фары;Подогрев задних сидений
